　
1,0,20230710,150000
2,0,20230710,150010
3,20,20230710,150020
1,17,20230710,150030
2,22,20230710,150040
3,35,20230710,150050
1,24,20230710,150100
2,29,20230710,150110
3,56,20230710,150120
1,26,20230710,150130
2,39,20230710,150140
3,76,20230710,150150
1,35,20230710,150200
2,42,20230710,150210
3,99,20230710,150220
1,40,20230710,150230
2,43,20230710,150240
3,126,20230710,150250
1,50,20230710,150300
2,52,20230710,150310
3,148,20230710,150320
1,57,20230710,150330
2,60,20230710,150340
3,167,20230710,150350
1,58,20230710,150400
2,61,20230710,150410
3,189,20230710,150420
1,61,20230710,150430
2,67,20230710,150440
3,207,20230710,150450
1,70,20230710,150500
2,77,20230710,150510
3,227,20230710,150520
1,71,20230710,150530
2,82,20230710,150540
3,256,20230710,150550
1,81,20230710,150600
2,90,20230710,150610
3,281,20230710,150620
1,89,20230710,150630
2,95,20230710,150640
3,307,20230710,150650
1,99,20230710,150700
2,105,20230710,150710
3,323,20230710,150720
1,100,20230710,150730
2,106,20230710,150740
3,340,20230710,150750
1,102,20230710,150800
2,109,20230710,150810
3,355,20230710,150820
1,107,20230710,150830
2,114,20230710,150840
3,373,20230710,150850
1,116,20230710,150900
2,122,20230710,150910
3,392,20230710,150920
1,119,20230710,150930
2,131,20230710,150940
3,408,20230710,150950
